Creating new game... (seed: -7990516969185201090)
0, 0 | Next Action: RIGHT
867, 1140 | Next Action: UP
868, 1140 | Next Action: DOWN
869, 1140 | Next Action: UP
870, 1140 | Next Action: DOWN
871, 1140 | Next Action: UP
872, 1140 | Next Action: DOWN
873, 1140 | Next Action: UP
874, 1140 | Next Action: UP
875, 1140 | Next Action: UP
876, 1140 | Next Action: UP
877, 1140 | Next Action: UP
878, 1140 | Next Action: UP
879, 1140 | Next Action: UP
880, 1140 | Next Action: UP
881, 1140 | Next Action: UP
882, 1140 | Next Action: UP
883, 1140 | Next Action: UP
884, 1140 | Next Action: UP
885, 1150 | Next Action: UP
886, 1150 | Next Action: UP
887, 1150 | Next Action: UP
888, 1150 | Next Action: UP
889, 1160 | Next Action: UP
890, 1160 | Next Action: UP
891, 1160 | Next Action: UP
892, 1160 | Next Action: UP
893, 1170 | Next Action: UP
894, 1170 | Next Action: UP
895, 1170 | Next Action: UP
896, 1170 | Next Action: UP
897, 1180 | Next Action: RIGHT
898, 1180 | Next Action: RIGHT
899, 1180 | Next Action: RIGHT
900, 1180 | Next Action: RIGHT
901, 1190 | Next Action: RIGHT
902, 1190 | Next Action: RIGHT
903, 1190 | Next Action: RIGHT
904, 1190 | Next Action: RIGHT
905, 1200 | Next Action: RIGHT
906, 1200 | Next Action: RIGHT
907, 1200 | Next Action: RIGHT
908, 1200 | Next Action: RIGHT
909, 1210 | Next Action: RIGHT
910, 1210 | Next Action: RIGHT
911, 1210 | Next Action: RIGHT
912, 1210 | Next Action: RIGHT
913, 1220 | Next Action: RIGHT
914, 1220 | Next Action: RIGHT
915, 1220 | Next Action: RIGHT
916, 1220 | Next Action: RIGHT
917, 1230 | Next Action: RIGHT
918, 1230 | Next Action: RIGHT
919, 1230 | Next Action: RIGHT
920, 1230 | Next Action: RIGHT
921, 1240 | Next Action: RIGHT
922, 1240 | Next Action: RIGHT
923, 1240 | Next Action: RIGHT
924, 1240 | Next Action: RIGHT
925, 1250 | Next Action: RIGHT
926, 1250 | Next Action: RIGHT
927, 1250 | Next Action: RIGHT
928, 1250 | Next Action: RIGHT
929, 1260 | Next Action: RIGHT
930, 1260 | Next Action: RIGHT
931, 1260 | Next Action: RIGHT
932, 1260 | Next Action: RIGHT
933, 1270 | Next Action: RIGHT
934, 1270 | Next Action: RIGHT
935, 1270 | Next Action: RIGHT
936, 1270 | Next Action: RIGHT
937, 1280 | Next Action: RIGHT
938, 1280 | Next Action: RIGHT
939, 1280 | Next Action: RIGHT
940, 1280 | Next Action: RIGHT
941, 1290 | Next Action: RIGHT
942, 1290 | Next Action: RIGHT
943, 1290 | Next Action: RIGHT
944, 1290 | Next Action: RIGHT
945, 1290 | Next Action: RIGHT
946, 1290 | Next Action: RIGHT
947, 1290 | Next Action: RIGHT
948, 1290 | Next Action: RIGHT
949, 1290 | Next Action: RIGHT
950, 1290 | Next Action: RIGHT
951, 1290 | Next Action: RIGHT
952, 1290 | Next Action: RIGHT
953, 1290 | Next Action: RIGHT
954, 1290 | Next Action: RIGHT
955, 1290 | Next Action: RIGHT
956, 1290 | Next Action: RIGHT
957, 1290 | Next Action: RIGHT
958, 1290 | Next Action: RIGHT
959, 1290 | Next Action: RIGHT
960, 1290 | Next Action: RIGHT
961, 1290 | Next Action: RIGHT
962, 1290 | Next Action: RIGHT
963, 1290 | Next Action: RIGHT
964, 1290 | Next Action: RIGHT
965, 1290 | Next Action: RIGHT
966, 1290 | Next Action: RIGHT
967, 1290 | Next Action: RIGHT
968, 1290 | Next Action: RIGHT
969, 1290 | Next Action: RIGHT
970, 1290 | Next Action: RIGHT
971, 1290 | Next Action: LEFT
972, 1290 | Next Action: LEFT
973, 1290 | Next Action: LEFT
974, 1290 | Next Action: LEFT
975, 1290 | Next Action: RIGHT
976, 1290 | Next Action: RIGHT
977, 1290 | Next Action: RIGHT
978, 1290 | Next Action: RIGHT
979, 1290 | Next Action: RIGHT
980, 1290 | Next Action: LEFT
981, 1290 | Next Action: RIGHT
982, 1290 | Next Action: RIGHT
983, 1290 | Next Action: RIGHT
984, 1290 | Next Action: RIGHT
985, 1290 | Next Action: RIGHT
986, 1290 | Next Action: RIGHT
987, 1290 | Next Action: RIGHT
988, 1290 | Next Action: RIGHT
989, 1290 | Next Action: RIGHT
990, 1290 | Next Action: RIGHT
991, 1290 | Next Action: RIGHT
992, 1290 | Next Action: RIGHT
993, 1290 | Next Action: RIGHT
994, 1290 | Next Action: RIGHT
995, 1290 | Next Action: RIGHT
996, 1290 | Next Action: RIGHT
997, 1290 | Next Action: RIGHT
998, 1290 | Next Action: RIGHT
999, 1290 | Next Action: RIGHT
1000, 1290 | Next Action: RIGHT
1001, 1290 | Next Action: RIGHT
1002, 1290 | Next Action: RIGHT
1003, 1300 | Next Action: RIGHT
1004, 1300 | Next Action: RIGHT
1005, 1300 | Next Action: RIGHT
1006, 1300 | Next Action: RIGHT
1007, 1310 | Next Action: LEFT
1008, 1310 | Next Action: RIGHT
1009, 1310 | Next Action: LEFT
1010, 1310 | Next Action: RIGHT
1011, 1310 | Next Action: LEFT
1012, 1310 | Next Action: RIGHT
1013, 1310 | Next Action: LEFT
1014, 1310 | Next Action: RIGHT
1015, 1310 | Next Action: LEFT
1016, 1310 | Next Action: RIGHT
1017, 1310 | Next Action: LEFT
1018, 1310 | Next Action: RIGHT
1019, 1310 | Next Action: LEFT
1020, 1310 | Next Action: RIGHT
1021, 1310 | Next Action: LEFT
1022, 1310 | Next Action: RIGHT
1023, 1310 | Next Action: LEFT
1024, 1310 | Next Action: RIGHT
1025, 1310 | Next Action: LEFT
1026, 1310 | Next Action: RIGHT
1027, 1310 | Next Action: LEFT
1028, 1310 | Next Action: RIGHT
1029, 1310 | Next Action: LEFT
1030, 1310 | Next Action: RIGHT
1031, 1310 | Next Action: LEFT
1032, 1310 | Next Action: RIGHT
1033, 1310 | Next Action: LEFT
1034, 1310 | Next Action: RIGHT
1035, 1310 | Next Action: LEFT
1036, 1310 | Next Action: RIGHT
1037, 1310 | Next Action: LEFT
1038, 1310 | Next Action: RIGHT
1039, 1310 | Next Action: LEFT
1040, 1310 | Next Action: RIGHT
1041, 1310 | Next Action: LEFT
1042, 1310 | Next Action: RIGHT
1043, 1310 | Next Action: LEFT
1044, 1310 | Next Action: RIGHT
1045, 1310 | Next Action: LEFT
1046, 1310 | Next Action: RIGHT
1047, 1310 | Next Action: LEFT
1048, 1310 | Next Action: RIGHT
1049, 1310 | Next Action: LEFT
1050, 1310 | Next Action: RIGHT
1051, 1310 | Next Action: LEFT
1052, 1310 | Next Action: RIGHT
1053, 1310 | Next Action: LEFT
1054, 1310 | Next Action: RIGHT
1055, 1310 | Next Action: LEFT
1056, 1310 | Next Action: RIGHT
1057, 1310 | Next Action: LEFT
1058, 1310 | Next Action: RIGHT
1059, 1310 | Next Action: LEFT
1060, 1310 | Next Action: RIGHT
1061, 1310 | Next Action: LEFT
1062, 1310 | Next Action: RIGHT
1063, 1310 | Next Action: LEFT
1064, 1310 | Next Action: RIGHT
1065, 1310 | Next Action: LEFT
1066, 1310 | Next Action: RIGHT
1067, 1310 | Next Action: LEFT
1068, 1310 | Next Action: RIGHT
1069, 1310 | Next Action: LEFT
1070, 1310 | Next Action: RIGHT
1071, 1310 | Next Action: LEFT
1072, 1310 | Next Action: RIGHT
1073, 1310 | Next Action: LEFT
1074, 1310 | Next Action: RIGHT
1075, 1310 | Next Action: LEFT
1076, 1310 | Next Action: RIGHT
1077, 1310 | Next Action: LEFT
1078, 1310 | Next Action: RIGHT
1079, 1310 | Next Action: LEFT
1080, 1310 | Next Action: RIGHT
1081, 1310 | Next Action: LEFT
1082, 1310 | Next Action: RIGHT
1083, 1310 | Next Action: LEFT
1084, 1310 | Next Action: RIGHT
1085, 1310 | Next Action: LEFT
1086, 1310 | Next Action: RIGHT
1087, 1310 | Next Action: LEFT
1088, 1310 | Next Action: RIGHT
1089, 1310 | Next Action: LEFT
1090, 1310 | Next Action: RIGHT
1091, 1310 | Next Action: LEFT
1092, 1310 | Next Action: RIGHT
1093, 1310 | Next Action: LEFT
1094, 1310 | Next Action: RIGHT
1095, 1310 | Next Action: LEFT
1096, 1310 | Next Action: RIGHT
1097, 1310 | Next Action: LEFT
1098, 1310 | Next Action: RIGHT
1099, 1310 | Next Action: LEFT
1100, 1310 | Next Action: RIGHT
1101, 1310 | Next Action: LEFT
1102, 1310 | Next Action: End
